iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 24, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"745,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"USB","US BANCORP","Financials","Equity","433,467,388.10","0.15","433,467,388.10","12,420,269.00","34.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","423,079,408.32","0.14","423,079,408.32","1,220,797.00","346.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","422,237,764.17","0.14","422,237,764.17","5,093,953.00","82.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","419,116,126.61","0.14","419,116,126.61","12,432,991.00","33.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","416,697,774.64","0.14","416,697,774.64","5,300,824.00","78.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","411,156,556.07","0.14","411,156,556.07","1,404,559.00","292.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Staples","Equity","410,209,789.88","0.14","410,209,789.88","1,993,148.00","205.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","408,123,606.34","0.14","408,123,606.34","4,581,026.00","89.09","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","407,858,924.55","0.14","407,858,924.55","2,310,161.00","176.55","United States","NASDAQ","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","407,154,637.40","0.14","407,154,637.40","2,118,170.00","192.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","406,655,165.36","0.14","406,655,165.36","2,030,636.00","200.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","406,145,555.34","0.14","406,145,555.34","945,426.00","429.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","404,965,392.96","0.14","404,965,392.96","1,490,597.00","271.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","403,876,146.80","0.14","403,876,146.80","1,409,198.00","286.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","401,751,969.02","0.14","401,751,969.02","34,904,602.00","11.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","400,104,541.10","0.13","400,104,541.10","2,802,245.00","142.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","399,940,701.75","0.13","399,940,701.75","246,231.00","1,624.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","399,878,362.03","0.13","399,878,362.03","7,428,541.00","53.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DXCM","DEXCOM INC","Health Care","Equity","393,019,856.07","0.13","393,019,856.07","3,444,823.00","114.09","United States","NASDAQ","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","392,593,312.72","0.13","392,593,312.72","3,008,839.00","130.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","389,701,631.80","0.13","389,701,631.80","167,297.00","2,329.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","389,384,788.52","0.13","389,384,788.52","4,154,324.00","93.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","389,039,003.21","0.13","389,039,003.21","11,828,489.00","32.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","387,898,470.18","0.13","387,898,470.18","4,883,526.00","79.43","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","387,140,688.50","0.13","387,140,688.50","712,835.00","543.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","385,131,178.80","0.13","385,131,178.80","1,923,540.00","200.22","United States","NASDAQ","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","377,138,119.52","0.13","377,138,119.52","6,482,264.00","58.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","375,529,825.92","0.13","375,529,825.92","2,398,632.00","156.56","United States","NASDAQ","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","373,631,106.94","0.13","373,631,106.94","4,877,054.00","76.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","372,776,584.28","0.13","372,776,584.28","2,206,562.00","168.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","371,819,530.53","0.13","371,819,530.53","2,042,179.00","182.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","366,907,785.86","0.12","366,907,785.86","1,143,478.00","320.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","364,120,938.85","0.12","364,120,938.85","5,780,615.00","62.99","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","361,201,659.56","0.12","361,201,659.56","6,354,709.00","56.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","358,446,206.88","0.12","358,446,206.88","738,288.00","485.51","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","356,749,472.34","0.12","356,749,472.34","6,126,558.00","58.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","356,488,373.20","0.12","356,488,373.20","8,859,055.00","40.24","United States","NASDAQ","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","354,250,955.28","0.12","354,250,955.28","2,209,098.00","160.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","353,395,938.08","0.12","353,395,938.08","3,395,426.00","104.08","United States","NASDAQ","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY LTD","Information Technology","Equity","351,742,727.52","0.12","351,742,727.52","2,821,164.00","124.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","351,045,185.36","0.12","351,045,185.36","1,890,796.00","185.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","348,052,417.60","0.12","348,052,417.60","2,637,560.00","131.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","346,651,822.59","0.12","346,651,822.59","1,283,753.00","270.03","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","343,543,004.30","0.12","343,543,004.30","7,076,066.00","48.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","341,274,334.80","0.12","341,274,334.80","5,590,995.00","61.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","339,750,220.56","0.11","339,750,220.56","2,060,216.00","164.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","337,762,346.16","0.11","337,762,346.16","4,525,219.00","74.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","336,007,826.70","0.11","336,007,826.70","770,042.00","436.35","United States","NASDAQ","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","335,272,939.80","0.11","335,272,939.80","2,255,452.00","148.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","327,823,303.99","0.11","327,823,303.99","1,697,423.00","193.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","326,618,282.88","0.11","326,618,282.88","7,436,664.00","43.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","325,478,032.11","0.11","325,478,032.11","462,399.00","703.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","325,381,015.14","0.11","325,381,015.14","6,283,913.00","51.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","325,283,704.20","0.11","325,283,704.20","4,653,558.00","69.90","United States","NASDAQ","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","324,749,394.18","0.11","324,749,394.18","1,310,213.00","247.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","322,968,362.10","0.11","322,968,362.10","938,998.00","343.95","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","319,794,917.55","0.11","319,794,917.55","4,878,641.00","65.55","United States","NASDAQ","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","319,334,185.90","0.11","319,334,185.90","5,875,514.00","54.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","319,083,365.82","0.11","319,083,365.82","2,496,154.00","127.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STZ","CONSTELLATION BRANDS INC CLASS A","Consumer Staples","Equity","315,462,137.70","0.11","315,462,137.70","1,447,406.00","217.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","314,478,902.85","0.11","314,478,902.85","4,909,897.00","64.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","313,850,680.32","0.11","313,850,680.32","4,991,264.00","62.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","313,559,898.48","0.11","313,559,898.48","6,623,572.00","47.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","313,144,499.78","0.11","313,144,499.78","2,375,366.00","131.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","312,067,283.34","0.11","312,067,283.34","10,858,291.00","28.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","311,812,671.60","0.11","311,812,671.60","1,655,496.00","188.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","311,286,427.08","0.10","311,286,427.08","2,860,037.00","108.84","United States","NASDAQ","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","311,086,241.23","0.10","311,086,241.23","3,070,031.00","101.33","United States","NASDAQ","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","308,508,860.00","0.10","308,508,860.00","1,402,313.00","220.00","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","307,462,072.05","0.10","307,462,072.05","3,399,249.00","90.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HES","HESS CORP","Energy","Equity","303,001,063.20","0.10","303,001,063.20","2,473,680.00","122.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","301,610,258.56","0.10","301,610,258.56","2,914,672.00","103.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","300,758,698.50","0.10","300,758,698.50","3,163,550.00","95.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","299,641,018.92","0.10","299,641,018.92","3,850,932.00","77.81","United States","NASDAQ","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","297,729,008.50","0.10","297,729,008.50","3,698,497.00","80.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","296,104,074.60","0.10","296,104,074.60","17,635,740.00","16.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","287,675,852.00","0.10","287,675,852.00","197,072.00","1,459.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","285,233,319.00","0.10","285,233,319.00","2,047,325.00","139.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","284,839,579.35","0.10","284,839,579.35","5,807,127.00","49.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","284,256,665.84","0.10","284,256,665.84","4,212,458.00","67.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","284,059,752.00","0.10","284,059,752.00","1,023,270.00","277.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","282,037,426.20","0.10","282,037,426.20","1,259,658.00","223.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","280,319,487.75","0.09","280,319,487.75","6,557,181.00","42.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","280,170,014.60","0.09","280,170,014.60","4,084,111.00","68.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","278,411,349.24","0.09","278,411,349.24","1,309,678.00","212.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","277,917,083.94","0.09","277,917,083.94","8,947,749.00","31.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","276,444,556.34","0.09","276,444,556.34","2,322,478.00","119.03","United States","NASDAQ","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","275,805,950.00","0.09","275,805,950.00","19,700,425.00","14.00","United States","NASDAQ","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","273,585,802.72","0.09","273,585,802.72","938,738.00","291.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","272,971,959.33","0.09","272,971,959.33","3,821,531.00","71.43","United States","NASDAQ","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","271,392,868.81","0.09","271,392,868.81","5,827,633.00","46.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","271,003,358.10","0.09","271,003,358.10","7,098,045.00","38.18","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","270,027,012.42","0.09","270,027,012.42","2,785,794.00","96.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","266,149,888.40","0.09","266,149,888.40","5,088,908.00","52.30","United States","NASDAQ","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","266,119,686.50","0.09","266,119,686.50","807,647.00","329.50","United States","NASDAQ","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","266,133,993.60","0.09","266,133,993.60","4,537,664.00","58.65","United States","NASDAQ","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","266,043,876.00","0.09","266,043,876.00","400,910.00","663.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","264,154,302.61","0.09","264,154,302.61","7,575,403.00","34.87","United States","NASDAQ","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","262,906,936.60","0.09","262,906,936.60","5,289,878.00","49.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","262,824,898.56","0.09","262,824,898.56","2,095,224.00","125.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","262,139,580.66","0.09","262,139,580.66","2,812,053.00","93.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","261,457,554.60","0.09","261,457,554.60","4,448,070.00","58.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","260,276,850.54","0.09","260,276,850.54","1,394,166.00","186.69","United States","NASDAQ","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","258,892,218.20","0.09","258,892,218.20","2,415,490.00","107.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLTR","DOLLAR TREE INC","Consumer Staples","Equity","254,653,189.34","0.09","254,653,189.34","1,853,506.00","137.39","United States","NASDAQ","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","254,513,990.70","0.09","254,513,990.70","3,280,665.00","77.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","249,140,150.60","0.08","249,140,150.60","1,589,918.00","156.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","247,566,419.59","0.08","247,566,419.59","2,344,601.00","105.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES","Health Care","Equity","247,496,891.16","0.08","247,496,891.16","3,236,946.00","76.46","United States","NASDAQ","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","246,791,804.49","0.08","246,791,804.49","962,489.00","256.41","United States","NASDAQ","USD","1.00","USD","-"
"ANSS","ANSYS INC","Information Technology","Equity","245,170,725.80","0.08","245,170,725.80","776,594.00","315.70","United States","NASDAQ","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","244,002,245.76","0.08","244,002,245.76","1,720,264.00","141.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Industrials","Equity","243,421,575.48","0.08","243,421,575.48","3,625,582.00","67.14","United States","NASDAQ","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","242,324,817.00","0.08","242,324,817.00","8,968,350.00","27.02","United States","NASDAQ","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","241,891,826.36","0.08","241,891,826.36","2,563,228.00","94.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","239,730,885.00","0.08","239,730,885.00","1,831,125.00","130.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","238,568,688.80","0.08","238,568,688.80","8,059,753.00","29.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","237,490,490.52","0.08","237,490,490.52","1,211,748.00","195.99","United States","NASDAQ","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","236,999,903.88","0.08","236,999,903.88","3,984,531.00","59.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","235,794,623.68","0.08","235,794,623.68","1,870,792.00","126.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","235,149,450.19","0.08","235,149,450.19","3,105,103.00","75.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP","Consumer Discretionary","Equity","234,479,061.18","0.08","234,479,061.18","2,260,257.00","103.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","233,140,300.04","0.08","233,140,300.04","453,598.00","513.98","United States","NASDAQ","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","232,790,000.04","0.08","232,790,000.04","3,404,358.00","68.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDW","CDW CORP","Information Technology","Equity","231,393,203.16","0.08","231,393,203.16","1,206,996.00","191.71","United States","NASDAQ","USD","1.00","USD","-"
"GPN","GLOBAL PAYMENTS INC","Financials","Equity","230,851,028.76","0.08","230,851,028.76","2,345,332.00","98.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","229,261,060.38","0.08","229,261,060.38","618,321.00","370.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","227,461,182.74","0.08","227,461,182.74","1,044,406.00","217.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABC","AMERISOURCEBERGEN CORP","Health Care","Equity","225,619,391.67","0.08","225,619,391.67","1,442,487.00","156.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","224,484,704.88","0.08","224,484,704.88","14,353,242.00","15.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","223,748,682.86","0.08","223,748,682.86","984,766.00","227.21","United States","NASDAQ","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","222,938,616.75","0.08","222,938,616.75","3,111,495.00","71.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","222,928,870.95","0.08","222,928,870.95","6,786,267.00","32.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DFS","DISCOVER FINANCIAL SERVICES","Financials","Equity","221,007,141.00","0.07","221,007,141.00","2,380,260.00","92.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","220,636,662.80","0.07","220,636,662.80","659,996.00","334.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IT","GARTNER INC","Information Technology","Equity","219,878,373.90","0.07","219,878,373.90","704,490.00","312.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","219,257,236.50","0.07","219,257,236.50","1,999,610.00","109.65","United States","NASDAQ","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","217,790,760.10","0.07","217,790,760.10","3,297,362.00","66.05","United States","NASDAQ","USD","1.00","USD","-"
"EFX","EQUIFAX INC","Industrials","Equity","215,771,980.92","0.07","215,771,980.92","1,092,074.00","197.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","215,297,872.18","0.07","215,297,872.18","951,719.00","226.22","United States","NASDAQ","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","214,100,660.16","0.07","214,100,660.16","2,915,314.00","73.44","United States","NASDAQ","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","213,582,794.04","0.07","213,582,794.04","7,705,007.00","27.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","208,690,190.10","0.07","208,690,190.10","6,381,963.00","32.70","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","206,377,604.46","0.07","206,377,604.46","4,837,731.00","42.66","United States","NASDAQ","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","205,484,365.40","0.07","205,484,365.40","1,638,370.00","125.42","United States","NASDAQ","USD","1.00","USD","-"
"FTV","FORTIVE CORP","Industrials","Equity","205,311,223.00","0.07","205,311,223.00","3,146,050.00","65.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","204,822,626.18","0.07","204,822,626.18","1,273,931.00","160.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","198,650,375.68","0.07","198,650,375.68","3,609,856.00","55.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALGN","ALIGN TECHNOLOGY INC","Health Care","Equity","198,618,306.60","0.07","198,618,306.60","647,598.00","306.70","United States","NASDAQ","USD","1.00","USD","-"
"GPC","GENUINE PARTS","Consumer Discretionary","Equity","197,144,977.68","0.07","197,144,977.68","1,256,661.00","156.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","196,919,577.00","0.07","196,919,577.00","1,184,835.00","166.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","196,715,650.91","0.07","196,715,650.91","1,247,167.00","157.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","196,017,421.05","0.07","196,017,421.05","2,264,265.00","86.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","193,954,656.72","0.07","193,954,656.72","2,816,652.00","68.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","193,685,223.16","0.07","193,685,223.16","2,304,679.00","84.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","193,653,242.40","0.07","193,653,242.40","398,956.00","485.40","United States","NASDAQ","USD","1.00","USD","-"
